"id1","id_publibike","name","adresse","plz","stadt","status","lat","lon","datum","objectid","geometry"
"88984","523","Bahnhof Glattbrugg","Bahnhofplatz 1","8152","Opfikon","Active","47.431170","8.558450","20200310000025","1","POINT (2684482.5 1253976.9)"
"88985","141","Bellevue","Bellevueplatz 2","8001","Zürich","Active","47.366752","8.544935","20200310000025","2","POINT (2683564 1246800.9)"
"88986","126","Hardau","Bullingerstrasse 73","8004","Zürich","Active","47.381356","8.510418","20200310000025","3","POINT (2680934.8 1248388.2)"
"88987","153","Manesseplatz","Manessestrasse 87","8045","Zürich","Active","47.365272","8.521740","20200310000025","4","POINT (2681814.2 1246611.9)"
"88988","454","General-Guisan-Quai","General-Guisan-Quai 17","8002","Zürich","Active","47.364871","8.537971","20200310000025","5","POINT (2683041 1246584.4)"
"88989","157","Strandbad Mythenquai","Mythenquai 95","8002","Zürich","Active","47.355189","8.535119","20200310000025","6","POINT (2682840.5 1245505)"
"88990","280","Wipkingerplatz","Wipkingerplatz 4","8037","Zürich","Active","47.392347","8.523549","20200310000025","7","POINT (2681909.5 1249623.8)"
"88991","516","Sirius-Platz","Sirius-Platz","8152","Opfikon","Active","47.418472","8.561746","20200310000026","8","POINT (2684751.5 1252568.8)"
"88992","135","Seebad Utoquai","Utoquai 50","8008","Zürich","Active","47.361335","8.547781","20200310000026","9","POINT (2683787.5 1246201.8)"
"88993","364","Kinderspital","Dolderstrasse 32","8032","Zürich","Active","47.370839","8.559534","20200310000026","10","POINT (2684660.2 1247270.9)"
"88994","396","Holunderhof","Regensbergstrasse 195","8050","Zürich","Active","47.409964","8.535802","20200310000026","11","POINT (2682807 1251595.1)"
"88995","529","Boulevard Lilienthal","Boulevard Lilienthal 2","8152","Opfikon","Active","47.424155","8.562301","20200310000026","12","POINT (2684784.2 1253201.1)"
"88996","365","Kornhausstrasse","Kornhausstrasse 30","8006","Zürich","Active","47.388689","8.536433","20200310000026","13","POINT (2682887.8 1249230.6)"
"88997","154","Werd","Werdstrasse 75","8004","Zürich","Active","47.372329","8.527140","20200310000026","14","POINT (2682211.2 1247402.1)"
"88998","526","Sonnental","Zürichstrasse 94","8600","Dübendorf","Active","47.395368","8.603989","20200310000026","15","POINT (2687977 1250046.8)"
"88999","386","Rigiplatz","Culmannstrasse 100","8006","Zürich","Active","47.384902","8.547904","20200310000026","16","POINT (2683759.8 1248821.9)"
"89000","142","Stauffacher","Stauffacherstrasse 41","8004","Zürich","Active","47.374230","8.528553","20200310000026","17","POINT (2682315.2 1247614.9)"
"89001","447","Gutstrasse","Gutstrasse 87","8055","Zürich","Active","47.371455","8.507056","20200310000026","18","POINT (2680696 1247284.1)"
"89002","359","Fischerweg","Hardturmstrasse 161","8005","Zürich","Active","47.393409","8.512381","20200310000026","19","POINT (2681064.8 1249730.2)"
"89003","527","Bahnhof Balsberg","Kloten Balsberg","8302","Kloten","Active","47.441730","8.568790","20200310000026","20","POINT (2685245.8 1255162)"
"89004","515","Hottingerplatz","Kasinostrasse 10","8032","Zürich","Active","47.369015","8.554397","20200310000026","21","POINT (2684275 1247062.6)"
"89005","128","Binz","Haldenstrasse 8","8045","Zürich","Active","47.363148","8.518143","20200310000026","22","POINT (2681546 1246372)"
"89006","130","Bahnhof Altstetten","Altstetterplatz 1","8048","Zürich","Active","47.391366","8.488108","20200310000026","23","POINT (2679235.2 1249478.4)"
"89007","285","Bahnhof Stadelhofen","Galerie über Gleis 3","8001","Zürich","Active","47.366910","8.548562","20200310000026","24","POINT (2683837.8 1246822.4)"
"89008","264","Lake Side","Bellerivestrasse 170","8008","Zürich","Active","47.353198","8.553189","20200310000026","25","POINT (2684208.8 1245302.9)"
